"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[18608]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / IBERIAN PENINSULA / SPAIN","OJOS NEGROS","40.74","40.74","-1.5","-1.5","SAE","","","s_ML-45 [18608]","CALC-ALKALI BASALT [18608]","","","","PALEOZOIC [18608]","","","","","VOL","","","","","WR [18608] ","50.8","0.771","","15.9","","","","5.97","11.6","3.73","0.12","","1.26","2","0.13","","","","","","","","","","","","","","","","6.54","","","","","","","","","","","","","","43","","52","","","","","","","","","","","","27.3","0.4","193","420","","","18","128","37.6","61.6","","","","","","38","247","27","111","3","","","","","","","","","","","","","238","14.2","28.6","3.9","17.1","3.5","1.01","3.3","0.5","3.7","0.61","1.9","","1.8","0.22","3.1","1","","","","","","","","","","","4.1","1.4","","","","","","","","","","","","","","","","","","","","","","","","","1067215",
"[18608]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - PALEOZOIC / IBERIAN PENINSULA / SPAIN","OJOS NEGROS","40.74","40.74","-1.5","-1.5","SAE","","","s_ML-46 [18608]","CALC-ALKALI BASALT [18608]","","","","PALEOZOIC [18608]","","","","","VOL","","","","","WR [18608] ","51.5","0.787","","15.8","","","","6.9","10.2","5.87","0.12","","1.08","2.02","0.12","","","","","","","","","","","","","","","","4.39","","","","","","","","","","","","","","31","","44","","","","","","","","","","","","27.8","0.4","174","400","","","25","143","37.3","83.8","","","","","","29","263","27","110","3","","","","","","","","","","","","","250","17.3","37","4.3","17.6","2.8","1.2","3","0.5","4.2","0.64","1.9","","2.1","0.2","2.5","1","","","","","","","","","","","4.2","1.2","","","","","","","","","","","","","","","","","","","","","","","","","1067216",
"[4452]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / OREGON","","44.8505","44.8505","-121.831","-121.831","SAE","","","s_CTGH-2576 [4452]","CALC-ALKALI BASALT [4452]","","","","","","","","","VOL","","","","","WR [4452] ","43.71","3.59","","11.34","","","","11.71","13.07","11.44","0.18","","0.69","3.04","1.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3","","237","410","","","55.8","123","62","122","19","","","","","45","1038","36","401","65","","","","","","","","","","","","","650","77","154","","81","16.9","5.15","","1.4","","","","","2.01","","8.73","3.64","","","","","","","","","","","7.2","","","","","","","","","","","","","","","","","","","","","","","","","","107249",
"[4452]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / OREGON","","44.5175","44.5175","-121.6308","-121.6308","SAE","","","s_RCGR-773 [4452]","CALC-ALKALI BASALT [4452]","","","","","","","","","VOL","","","","","WR [4452] ","49.62","1.59","","15.6","","","","10.24","9.31","9.64","0.18","","0.47","2.95","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33","","187","334","","","","223","96","102","20","","","","","6","701","27","174","10","","","","","","","","","","","","","220","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107250",
"[4452]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / OREGON","","44.4381","44.4381","-121.8381","-121.8381","SAE","","","s_RCW-85 [4452]","CALC-ALKALI BASALT [4452]","","","","","","","","","VOL","","","","","WR [4452] ","52.3","1.16","","16.48","","","","7.63","8.8","8.84","0.14","","0.86","3.52","0.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","","196","373","","","41.3","180","56","73","17","","","","","10","627","19","129","10.6","","","","","","","","","","","","","256","13.4","32.7","","15.8","4.16","1.28","","0.6","","","","","1.87","0.25","2.78","0.56","","","","","","","","","3","","1.35","","","","","","","","","","","","","","","","","","","","","","","","","","107251",
"[4452]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / OREGON","","44.3908","44.3908","-121.5396","-121.5396","SAE","","","s_RCDS-197 [4452]","CALC-ALKALI BASALT [4452]","","","","","","","","","VOL","","","","","WR [4452] ","51.38","1.42","","16.79","","","","7.45","9.51","8.19","0.13","","1.13","3.57","0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.4","","204","256","","","39.9","","47","80","17","","","","","21","924","21","209","10.3","","","","","","","","","","","","","552","37","85.5","","45","8.2","2.12","","0.8","","","","","1.51","0.22","4.76","0.55","","","","","","","","","0","","6.06","1.65","","","","","","","","","","","","","","","","","","","","","","","","","107423",
"[4452]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / OREGON","","45.5095","45.5095","-121.7366","-121.7366","SAE","","","s_92TB16 [4452]","CALC-ALKALI BASALT [4452]","","","","","","","","","VOL","","","","","WR [4452] ","52.07","1.32","","16.49","","","","8.15","8.76","7.89","0.13","","1.2","3.63","0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.5","","196","327","","","46.8","200","67","81","","","","","","12.6","996","17","150","13","","","","","","","","","","","","","349","26.5","63.2","","25.7","6.2","1.82","","0.4","","","","","1.46","0.22","4.04","0.88","","","","","","","","","","","3.6","","","","","","","","","","","","","","","","","","","","","","","","","","107424",
"[4452]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / OREGON","","46.396","46.396","-121.7145","-121.7145","SAE","","","s_DS91-65 [4452]","CALC-ALKALI BASALT [4452]","","","","","","","","","VOL","","","","","WR [4452] ","50.4","1.3","","16.49","","","","8.4","9.74","8.52","0.14","","1.26","3.31","0.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","205","355","","","42.7","156","62","79","","","","","","22","723","23","190","14","","","","","","","","","","","","","384","27.9","64.6","","34.1","6.72","1.89","","0.7","","","","","2.32","0.31","4.38","0.77","","","","","","","","","","","4.16","1.38","","","","","","","","","","","","","","","","","","","","","","","","","107425",
"[4452]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / OREGON","","45.5158","45.5158","-121.7123","-121.7123","SAE","","","s_RC-MTBRP [4452]","CALC-ALKALI BASALT [4452]","","","","","","","","","VOL","","","","","WR [4452] ","53.44","1.2","","16.59","","","","7.32","8.34","7.25","0.12","","1.44","3.86","0.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","161","224","","","","158","50","111","18","","","","","11","1253","20","198","11.4","","","","","","","","","","","","","371","","73","","","","","","","","","","","","","","","","","","","","","","","6","","3","","","","","","","","","","","","","","","","","","","","","","","","","","107426",
"[4452]","CONVERGENT MARGIN","CASCADES / HIGH CASCADES / OREGON","","44.3616","44.3616","-121.7606","-121.7606","SAE","","","s_RCT-TFJ1 [4452]","CALC-ALKALI BASALT [4452]","","","","","","","","","VOL","","","","","WR [4452] ","50.25","1.15","","16.28","","","","8.11","9.72","9.41","0.14","","1.43","3.13","0.37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.1","","177","341","","","43","190","98","74","10","","","","","6.4","1575","20.3","143","4.4","","","","","","","","","","","","0.12","739","21.6","50.8","7.1","31.9","6.28","2.02","4.41","0.68","4.02","0.77","2.11","0.28","1.76","0.28","3.68","0.45","","","","","","","","","5","","0.74","0.32","","","","","","","","","","","","","","","","","","","","","","","","","107427",
