"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20322]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / EASTERN ANATOLIAN VOLCANIC BELT / ETRUSK","SIYHMEHMET TEPE VOLCANIC CENTER","39.2","39.2","43","43","SAE","","","s_08VAN-90 [20322]","MUGEARITE [20322]","","","","PLIOCENE [20322]","","","","","VOL","","","","","WR [20322] ","51.95","1.21","","18.46","","","","7.45","8.08","4.58","0.13","","1.67","4.07","0.49","","","","","","","","","","","","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","183","","","","30.9","50.1","","","19.6","","","","","26.8","814.9","25.5","192.8","20","","","","","","","","","","","","0.2","532","37.5","76.9","8.77","33.5","5.96","1.72","5.35","0.86","4.49","0.89","2.7","0.36","2.36","0.35","4.7","1","","","","","","","","","4.6","","7.7","1.1","","","","","","","","","","","","","","","","","","","","","","","","","1051089",
"[20410]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / GERMANY / SIEBENGEBIRGE","LÖWENBURG","50.6651","50.6651","7.2519","7.2519","SAE","","","s_SG 36 [20410]","MUGEARITE [20410]","","","","CENOZOIC [20410]","","","","","VOL","","","","","WR [20410] ","48.7","2.22","","15.6","","","","8.26","7.75","5.76","0.16","","2.71","4.56","0.65","","","","","","","","","","","","","0.32","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.2","","","125","","","","73","49.6","146","","","","","","83.7","970","22.4","370","84.8","","","","","","","","","","","","2.04","793","72.6","127","15.1","55.3","9.67","2.71","7.37","0.964","5.13","0.87","2.22","0.293","1.86","0.258","8.21","3.92","","","","","","","","","8.73","","12.4","3.62","0.512736","","","0.70439","","19.424","","15.661","","39.343","","","","","","","","0.282884","","","","","","","1059694",
"[4868]","OCEAN ISLAND","SELVAGEN ISLANDS / SELVAGEN GRANDE / GRANDE","BASEMENT","30.1386","30.1386","-15.8656","-15.8656","SAE","","","s_J-25 [4868]","MUGEARITE [4868]","","","","","","","","","VOL","","","","","WR [4868] ","50.26","0.88","","20.7","","","","5.03","4.93","2.95","0.12","","3.58","4.19","0.36","5.46","","","","0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104","0","","","20","30","","74","21","","","","","76.8","1088","16.7","387","77","","","","","","","","","","","","","1173","46.3","81.5","8.79","30.6","5.24","1.58","4.27","0.61","3.45","0.65","1.79","0.26","1.69","0.26","7.31","6.46","","","","","","","","","6.27","","6.3","0.87","","","","","","","","","","","","","","","","","","","","","","","","","106461",
"[20443]","RIFT VOLCANICS","EAST AFRICAN RIFT / WESTERN EAST AFRICAN RIFT (TANGANYIKA RIFT) / VIRUNGA PROVINCE","TONGO, DR CONGO","-1.5","-2.5","29","29","SAE","","","s_N377 [20443]","MUGEARITE [20443]","","","","CENOZOIC [20443]","","","","","VOL","","","","","WR [20443] ","53.16","1.04","","16.98","","","","7.44","5.44","3.36","0.17","","3.55","4.6","0.57","","","","","","","","","","","","","","","","2.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1066264",
"[4825]","OCEAN ISLAND","ICELAND / ICELAND / SNAEFELLSJÖKULL","","64.807","64.807","-15.633","-15.633","SAE","","","s_VH115 [4825]","MUGEARITE [4825]","","","","","","","","","VOL","","","","","WR [4825] ","51.89","2.3","","14.62","","","","11.63","7.02","3.13","0.28","","1.34","4.5","1.12","","","","","","","","","","","","","","","","0.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.1","","71.9","8.1","","","27","2","9.5","126.9","21.9","","","","","27.8","467.9","62.4","340.9","43","","","","","","","","","","","","","369.3","42.49","100.07","13.91","61.47","13.87","5.12","17.06","2.48","13.11","2.59","6.94","0.91","6.07","0.88","","","","","","","","","","","2.02","","3.61","1.07","0.513003","","","0.703303","","18.447","","15.466","","38.119","","","","","","","","","","","","","","","107559",
"[4825]","OCEAN ISLAND","ICELAND / ICELAND / SNAEFELLSJÖKULL","","64.807","64.807","-15.633","-15.633","SAE","","","s_VH176 [4825]","MUGEARITE [4825]","","","","","","","","","VOL","","","","","WR [4825] ","52.21","2.5","","14.6","","","","12.17","7.17","3.53","0.29","","1.33","4.07","0.91","","","","","","","","","","","","","","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3","","110.5","1.3","","","32.9","5","25.2","123.9","25.7","","","","","34.1","491.5","47.2","235.8","36.3","","","","","","","","","","","","","366","37.86","84.3","11.7","47.5","11.15","3.9","12.27","1.65","9.8","1.86","4.86","0.65","4.17","0.62","","","","","","","","","","","1.54","","3.28","0.98","0.513002","","","0.703325","","18.432","","15.498","","38.177","","","","","","","","","","","","","","","107560",
"[4825]","OCEAN ISLAND","ICELAND / ICELAND / SNAEFELLSJÖKULL","","64.807","64.807","-15.633","-15.633","SAE","","","s_VH222 [4825]","MUGEARITE [4825]","","","","","","","","","VOL","","","","","WR [4825] ","54.92","1.78","","15.36","","","","11.52","5.88","2.39","0.31","","1.62","4.94","0.86","","","","","","","","","","","","","","","","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8","","25.7","2.9","","","27.4","1.3","11","131","23.9","","","","","38.1","498.3","54.1","282","40.4","","","","","","","","","","","","","467.1","45.24","100.04","13.45","58.24","13.08","5.04","13.23","1.81","11.27","1.99","5.65","0.79","4.91","0.69","","","","","","","","","","","2.65","","4.06","1.22","0.512999","","","0.703311","","18.475","","15.474","","38.188","","","","","","","","","","","","","","","107561",
"[41][157]","OCEAN ISLAND","HAWAIIAN ISLANDS / HAWAII / MAUNA KEA / POST-SHIELD STAGE / LAUPAHOEHOE SERIES","WEST FLANK","19.6","19.6","-155.7","-155.7","SAE","","","s_NO-10 [41]","MUGEARITE [41]","58000 [41]","74000 [41]","","PLEISTOCENE [41]","","","","","VOL","","","","","WR [41] ","54.17","1.6","","17.11","","","","8.62","5","2.63","0.22","","2.55","5.48","1.07","","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","","17","18","","","11","21","","126","23.5","","","","","56.4","1026","50","732","76","","","","","","","","","","","","","792","75.1","184","","88","16.9","5.02","","1.89","","2.2","","","4.18","0.58","15.6","4.6","","","","","","","","","","","6","","","","","","","18.346","","15.451","","37.879","","","","","","","","","","","","","","","1089",
"[16952]","RIFT VOLCANICS","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT RITTMANN","MCMURDO VOLCANIC GROUP","-73.45","-73.45","165.5","165.5","SAE","","","s_NN 17 [16952]","MUGEARITE [16952]","","","","NEOGENE [16952]","","","","","VOL","","","","","WR [16952] ","50.36","2.47","","11.63","","4.5","6.41","","6.72","3.94","0.2","","1.53","5.24","0.59","","","","","","","","","","","","","","","","0.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42","630","31","238","65","","","","","","","","","","","","","440","42","91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1096618",
"[16952]","RIFT VOLCANICS","ANTARCTICA / WEST ANTARCTIC RIFT SYSTEM / ROSS SEA RIFT / MOUNT RITTMANN","MCMURDO VOLCANIC GROUP","-73.45","-73.45","165.5","165.5","SAE","","","s_NN 26 [16952]","MUGEARITE [16952]","","","","NEOGENE [16952]","","","","","VOL","","","","","WR [16952] ","50.01","2.11","","18.22","","3.49","5.12","","7.59","2.9","0.17","","1.99","4.99","0.86","","","","","","","","","","","","","","","","2.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45","912","27","220","62","","","","","","","","","","","","","648","48","96","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1096626",
