"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20101]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / NALLIHAN VOLCANIC ASSOCIATION","","40","40","30","30","SAE","","","s_NB-34 [20101]","HAWAIITE [20101]","","","","PALEOGENE [20101]","","","","","VOL","","","","","WR [20101] ","48.16","1.42","","16.52","","","","8.64","8.94","6.47","0.16","","1.38","3.97","0.31","","","","","","","","","","","","","","","","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","","222","164.22","","","51.3","40.2","46.8","61","17.5","","","","","22","607.2","21.2","138.6","18.4","","","","","","","","","","","","1.4","295","20.6","43","4.93","20","4.29","1.46","4.55","0.71","4.11","0.88","2.28","0.36","2.19","0.34","3.4","1.4","191.2","","","","","","","","","","3.7","1","","","","","","","","","","","","","","","","","","","","","","","","","1019316",
"[20101]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / NALLIHAN VOLCANIC ASSOCIATION","","40","40","30","30","SAE","","","s_NB-43 [20101]","HAWAIITE [20101]","","","","PALEOGENE [20101]","","","","","VOL","","","","","WR [20101] ","46.96","1.25","","18.12","","","","8.85","8.44","3.9","0.18","","0.84","4.41","0.3","","","","","","","","","","","","","","","","5.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","209","","","","38.2","3.2","86.3","61","19.8","","","","","15.3","736.5","24.7","142.7","14.6","","","","","","","","","","","","1.9","169","20.9","42.4","5.2","21","4.57","1.49","4.78","0.78","4.67","0.9","2.61","0.39","2.45","0.4","3.5","1","147.4","","","","","","","","","","2.8","0.6","","","","","","","","","","","","","","","","","","","","","","","","","1019317",
"[20101]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / NALLIHAN VOLCANIC ASSOCIATION","","40","40","30","30","SAE","","","s_NB-50 [20101]","HAWAIITE [20101]","","","","PALEOGENE [20101]","","","","","VOL","","","","","WR [20101] ","46.67","1.58","","17.24","","","","8.91","9.21","5.45","0.16","","1.46","3.7","0.32","","","","","","","","","","","","","","","","3.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","244","20.5275","","","87.5","12.5","32.6","52","18.9","","","","","19.7","802.1","23.2","148.6","20.2","","","","","","","","","","","","0.8","224","19","41","4.8","19.6","4.28","1.47","4.52","0.76","4.1","0.89","2.45","0.36","2.34","0.36","3.4","1.2","424.1","","","","","","","","","","2.9","0.8","","","","","","","","","","","","","","","","","","","","","","","","","1019318",
"[20101]","INTRAPLATE VOLCANICS","ANATOLIA-IRAN BELT / TURKEY / WESTERN ANATOLIAN VOLCANIC BELT / NALLIHAN VOLCANIC ASSOCIATION","","40","40","30","30","SAE","","","s_NB-51 [20101]","HAWAIITE [20101]","","","","PALEOGENE [20101]","","","","","VOL","","","","","WR [20101] ","46.44","1.48","","17.94","","","","9.53","7.38","4.81","0.17","","1.25","4.55","0.31","","","","","","","","","","","","","","","","4.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","","270","20.5275","","","48.1","13.1","72.2","75","20.3","","","","","17.6","1064.5","24.3","121.2","12","","","","","","","","","","","","0.6","214","17.6","39.4","4.75","21","4.62","1.49","4.78","0.76","4.29","0.9","2.54","0.37","2.3","0.37","3","1.1","156.4","","","","","","","","","","2.7","0.6","","","","","","","","","","","","","","","","","","","","","","","","","1019319",
"[4698]","CONVERGENT MARGIN","MEXICAN VOLCANIC BELTS / TRANS MEXICAN VOLCANIC BELT / JALISCO / AYUTLA","","20.0901","20.0901","-104.0273","-104.0273","SAE","","","s_AY-501 [4698]","HAWAIITE [4698]","","","","","","","","","VOL","","","","","WR [4698] ","51.77","1.77","","16.24","","","","9.75","7.92","5.73","0.16","","1.35","3.64","0.47","","","","","","","","","","","","","","","","0.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","211","130","","","","81","27","100","25","","","","","20","621","29","201","18.5","","","","","","","","","","","","","558","16","52","","","","","","","","","","","","","","","","","","","","","","","6","","3","","","","","","","","","","","","","","","","","","","","","","","","","","102058",
"[1303][459]","OCEAN ISLAND","COMOROS / GRANDE COMORE (NJAZIDJA) / MOUNT KARTHALA","","-11.35","-11.35","43.2","43.2","SAE","","","s_GC-5 [1303] / s_72-GC-5 [459]","HAWAIITE [1303] / ALKALI BASALT [459]","","","","","","","","FINE-GRAINED TO CRYPTOCRYSTALLINE , SLIGHTLY TO HIGHLY VESICULAR, SPARSELY TO COARSELY PORPHYRITIC [1303] ","VOL","","","F","","WR [1303] ","46.8","2.65","","14.63","","1.59","10.59","","10.64","6.81","0.18","","1.28","3.78","0.47","","","0.68","","","","","","","","","","","","","0.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","","253","145","","","53","115","94","107","","","","","","31","557","29","224","52","","","","","","","","","","","","","374","42","74.7","9.44","35.7","8.64","2.61","7.91","1.13","6.07","","3.19","","2.75","","","","","0.000283","0.0000377","","","","","","","","5.6","","0.51266","","","0.70393","","19.259","","15.548","","39.31","","","","1.263","","294","","","","","","","","","10240",
"[21740]","INTRAPLATE VOLCANICS","NEW ZEALAND / NORTH ISLAND / NORTHLAND VOLCANIC ZONE / KAIKOHE-BAY OF ISLANDS FIELD","HURURU FALLS","-35.3","-35.3","173.9","173.9","SAE","","","s_44062 [21740]","BASALT [21740]","","","","QUATERNARY [21740]","","","","","VOL","","","","","WR [21740] ","49.6361794121237","2.22115310405703","","16.9172756966535","","","","10","9.42215175191315","5.67966090535131","0.191688555555607","","0.892518142269491","4.45244845973076","0.414818091122979","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.552628","","","10.1761384615385","","","","","","","","","","","","","","17.3124901669535","19.5455869256398","6.44681853247756","15.7953108037864","34.5789305057135","","","","","","","","","","","","5.81328027147594","19.2507791952448","25.2544654195999","21.2445414331265","17.6323811007785","16.1934502890607","11.6114382933865","10.7165361161262","9.52237104848097","8.39948893771162","7.68859309089532","6.93613318431956","6.91239987102506","6.31304317712162","6.48231575525075","6.13433909974767","","","","","","","","","","","","","24.6511233301408","26.6906263278308","","","","","","","","","","","","","","","","","","","","","","","","","102908",
"[21740]","INTRAPLATE VOLCANICS","NEW ZEALAND / NORTH ISLAND / NORTHLAND VOLCANIC ZONE / KAIKOHE-BAY OF ISLANDS FIELD","TE PUKE, KERIKERI INLET ROAD","-35.3","-35.3","173.9","173.9","SAE","","","s_44060 [21740]","BASALT [21740]","","","","QUATERNARY [21740]","","","","","VOL","","","","","WR [21740] ","51.126272028366","1.63320035646169","","16.4537327837321","","","","9.70283913010797","8.521045338061","7.08058291186497","0.156219164531118","","1.03469836247884","3.83447040212745","0.292150125876377","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.201356","","","7.47166923076923","","","","","","","","","","","","","","26.3067178528849","17.4503356176283","4.58346734817762","10.927895857933","30.0439061466205","","","","","","","","","","","","17.0087773398238","26.1653906251756","23.6258905461492","18.7221688877151","14.9720601966822","13.2933407034053","9.90115848632238","8.36937817266219","7.47465865722121","6.45758180883371","5.83616092014095","5.05916023370861","4.65772401254038","4.33684645529837","4.21088229666944","3.83608020211942","","","","","","","","","","","","","41.4283076174051","38.3608462259783","","","","","","","","","","","","","","","","","","","","","","","","","102916",
"[21740]","INTRAPLATE VOLCANICS","NEW ZEALAND / NORTH ISLAND / NORTHLAND VOLCANIC ZONE / KAIKOHE-BAY OF ISLANDS FIELD","PUKETUTU CENTRE, PUKETONA QUARRY","-35.3","-35.3","173.9","173.9","SAE","","","s_44061 [21740]","BASALT [21740]","","","","QUATERNARY [21740]","","","","","VOL","","","","","WR [21740] ","49.6584374387437","1.75755107956274","","16.1328966147146","","","","9.35167623707324","10.077980756799","7.99533352379118","0.153404747406921","","0.95496995074507","3.43382812076419","0.32509615344513","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.54494","","","8.06756923076923","","","","","","","","","","","","","","24.35885853342","19.6281327384444","4.37305096754596","10.4898337656082","37.6307033415697","","","","","","","","","","","","24.7025593073297","19.2249243766129","24.2462877457617","18.7756466870867","14.9320869766383","13.3093600222244","9.44066637738454","8.35142510320522","7.30346257817603","6.29129089103954","5.45659002734981","4.70044721780048","4.46213810169516","4.05789474243301","3.96069962092681","3.67709952363266","","","","","","","","","","","","","37.8840153997009","39.6979417826912","","","","","","","","","","","","","","","","","","","","","","","","","102917",
"[811]","OCEAN ISLAND","AUSTRAL-COOK ISLANDS / RURUTU / YOUNG ATIU-TREND LAVAS","","-22.42","-22.42","-151.33","-151.33","SAE","","","s_RR30 [811]","HAWAIITE [811]","1100000 [811]","1800000 [811]","","PLEISTOCENE [811]","","","","","VOL","","","","","WR [811] ","41.6","4.15","","14.5","","","","15.39","7.9","6.05","0.22","","1.68","4.7","1.2","","","","","","","","","","","","","","","","0.53","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7","","215","11","","","47","44","","","","","","","","39","1000","41","425","98","","","","","","","","","","","","","400","75","150","","78","","4","","","7.9","","3.6","","2.75","","","","","","","","","","","","","","","","0.512913","","","0.703309","","20.35","","15.68","","39.8","","","","","","","","","","","","","","","10413",
