"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SAE","","","s_99TXC263A [20085]","TRANSITIONAL BASALT [20085]","","","","ARCHEAN [20085]","","","","","VOL","","","","","WR [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.99","7.47","","","","","","","","","","","","","","","","","","","","","","","","0.5121","","","","","","","","","","","","","","","","","","","","","","","","1017627",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SAE","","","s_99TXC263B [20085]","TRANSITIONAL BASALT [20085]","","","","ARCHEAN [20085]","","","","","VOL","","","","","WR [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.91","7.01","","","","","","","","","","","","","","","","","","","","","","","","0.512148","","","","","","","","","","","","","","","","","","","","","","","","1017628",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SAE","","","s_85TXA-429A [20085]","TRANSITIONAL BASALT [20085]","","","","ARCHEAN [20085]","","","","","VOL","","","","","WR [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.62","11.37","","","","","","","","","","","","","","","","","","","","","","","","0.511779","","","","","","","","","","","","","","","","","","","","","","","","1017629",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SAE","","","s_98TXH426B [20085]","TRANSITIONAL BASALT [20085]","","","","ARCHEAN [20085]","","","","","VOL","","","","","WR [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.29","107.66","","","","","","","","","","","","","","","","","","","","","","","","0.511762","","","","","","","","","","","","","","","","","","","","","","","","1017630",
"[20085]","ARCHEAN CRATON (INCLUDING GREENSTONE BELTS)","CHURCHILL PROVINCE_ARCHEAN / RAE SUPRACRUSTAL BELT / RANKIN INLET GREENSTONE BELT / ADAMSON RIVER FORMATION","","63","63","-92","-92","SAE","","","s_99TXH312 [20085]","TRANSITIONAL BASALT [20085]","","","","ARCHEAN [20085]","","","","","VOL","","","","","WR [20085] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.8","10.55","","","","","","","","","","","","","","","","","","","","","","","","0.512164","","","","","","","","","","","","","","","","","","","","","","","","1017632",
"[1238][1314][1193]","OCEAN ISLAND","CAMEROON LINE / PRINCIPE / OLD SERIES","PRAIA DE STA.RITA, NORTH COAST OF PRINCIPE, N-S DIKE","1.62","1.62","7.45","7.45","SAE","","","s_P31 [1238]","TRANSITIONAL BASALT [1238] / BASALT [1314]","21000000 [1193]","21000000 [1193]","","MIOCENE [1193]","","","","PHYRIC [1238] ","VOL","","","","","WR [1238] ","47.71","2.94","","14.07","","","","10.71","8","8.15","0.16","","1.67","3.05","0.67","","","","","","","","","","","","","","","","1.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","231","231","","","","167","42","112","","","","","","37.5","620","29","327","49","","","","","","","","","","","","","439","43","88","","43.4","8.81","","","","","","","","","","","","","","","","","","","","2.7","","5","1.59","0.512826","","","0.70352","","19.273","","15.621","","39.28","","","","","","","","","","","","","","","10633",
"[1314][1193]","OCEAN ISLAND","CAMEROON LINE / PRINCIPE / OLD SERIES","","1.62","1.62","7.45","7.45","SAE","","","s_P50 [1314]","BASALT [1314] / TRANSITIONAL BASALT [1193]","21000000 [1193]","21000000 [1193]","","MIOCENE [1193]","","","","","VOL","","","","","WR [1314] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.7","708","","","","","","","","","","","","","","","","","","","","32.3","7.13","","","","","","","","","","","","","","","","","","","","1.74","","","1.02","0.512891","","","0.70324","","19.732","","15.674","","39.62","","","","","","","","","","","","","","","10634",
"[2635]","INTRAPLATE VOLCANICS","NORTH AMERICAN CORDILLERA - CENOZOIC/QUATERNARY / CANADIAN CORDILLERA / YUKON TERRITORY","ST. CLARE CREEK FIELD, ALEXANDER TERRANE","60.8","60.8","-141.42","-141.42","SAE","","","s_TS-98-85 [2635]","TRANSITIONAL BASALT [2635]","","","","CENOZOIC [2635]","","","","","VOL","","","","","WR [2635] ","47.05","1.38","","17.45","","","","8.85","10.47","8.84","0.14","","0.26","2.89","0.17","","","","","","","","","","","","","","","","2.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.2","","184","102","","","","40","","","","","","","","2","302","24","120","8","","","","","","","","","","","","","72","5.55","13.8","","9.59","3.33","1.15","","0.72","","0.96","","0.34","2.36","0.35","2.8","0.3","","","","","","","","","","","","","","","","0.70319","","","","","","","","","","","","","","","","","","","","","106649",
"[14035]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA / MONTIFERRO","150 M SOUTH OF ROCCA CORANGIU","40.5","40.5","8.5","8.5","SAE","","","s_163 DB [14035]","TRANSITIONAL BASALT [14035]","","","","","","","","","VOL","","","","","WR [14035] ","50.57","2.38","","15.55","","7.3","3.32","","8.84","6.49","0.12","","1.83","3.45","0.56","","1.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1074614",
"[14035]","CONVERGENT MARGIN","LIGURIA-SARDO-TYRRHENIAN ARC / SARDINIA / NORTHERN SARDINIA / MONTIFERRO","SERRA PASSA","40.5","40.5","8.5","8.5","SAE","","","s_184 DB [14035]","TRANSITIONAL BASALT [14035]","","","","","","","","","VOL","","","","","WR [14035] ","51.6","2.04","","15.31","","6.79","3.37","","7.84","6.34","0.09","","1.61","3.72","0.42","","0.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1074615",
