"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[20136]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF","LUZICKE HORY MOUNTAINS","50.7","50.7","14.5","14.5","SAE","","","s_48 [20136]","MELILITITE, OLIVINE-NEPHELINE [20136]","","","","CENOZOIC [20136]","","","","","VOL","","","","","WR [20136] ","34.11","2.49","","7.68","","4.43","5.94","","15.59","17.05","0.19","","1.59","0.95","0.88","","6.59","0.91","","0.92","","","","","","","","","","0.2","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","682","","","","418","52","94","","","0","","","44","1018","28","182","130","28","","","","","","","","","","","","1164","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086003",
"[20136]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF","LUZICKE HORY MOUNTAINS","50.7","50.7","14.5","14.5","SAE","","","s_49 [20136]","MELILITITE [20136]","","","","CENOZOIC [20136]","","","","","VOL","","","E","","WR [20136] ","36.06","2.25","","7.98","","5.45","5.04","","7.44","19.57","0.2","","1.51","0.97","0.94","","7.57","2.09","","2.28","","","","","","","","","","0.11","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","698","","","","534","77","102","","","0","","","63","950","28","189","114","31","","","","","","","","","","","","2400","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086004",
"[20136]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF","LUZICKE HORY MOUNTAINS","50.7","50.7","14.5","14.5","SAE","","","s_50 [20136]","MELILITITE, OLIVINE-NEPHELINE [20136]","","","","CENOZOIC [20136]","","","","","VOL","","","","","WR [20136] ","32.02","2.33","","7.47","","4.7","6.34","","19.28","16.2","0.19","","1.85","0.51","1.39","","5.86","0.49","","0.66","","0.14","","","","","","","","0.24","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","538","","","","307","73","67","","","0","","","38","1775","0.33","456","156","0","","","","","","","","","","","","2239","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086005",
"[20136]","INTRAPLATE VOLCANICS","EUROPEAN OROGENIC BELT - CENOZOIC/QUATERNARY / CZECH REPUBLIC / BOHEMIAN MASSIF","LUZICKE HORY MOUNTAINS","50.7","50.7","14.5","14.5","SAE","","","s_51 [20136]","MELILITITE, OLIVINE-NEPHELINE [20136]","","","","CENOZOIC [20136]","","","","","VOL","","","","","WR [20136] ","30.88","2.26","","8.32","","7.28","4.25","","19.67","15.02","0.2","","1.79","0.34","1.33","","7.42","0.51","","1.11","","0.09","","","","","","","","0.01","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","540","","","","307","62","68","","","0","","","39","585","26","347","155","0","","","","","","","","","","","","1075","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","1086006",
"[17691]","RIFT VOLCANICS","EAST AFRICAN RIFT / CHILWA ALKALINE PROVINCE / NORTHERN CHILWA PROVINCE","TUNDULU, MLANJE MOUNTAIN, SOUTHERN MALAWI","-15","-15","35","35","SAE","","","s_G750 [17691]","MELILITITE [17691]","","","","","","","","","VOL","","","","","WR [17691] ","23.54","4.18","","8.54","","9.31","5.7","","19.29","5.91","0.51","","2.21","3.01","","","1.55","0.49","","12.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1087584",
"[16888]","INTRAPLATE VOLCANICS","WYOMING CRATON / MONTANA / MISSOURI BREAKS / HAYSTACK BUTTE","","45.68","45.68","-107.44","-107.44","SAE","","","s_7 [16888]","MELILITITE [16888]","","","","","","","","","VOL","","","","","WR [16888] ","34.1","2.6","","11.6","","3.2","4.2","","19.6","9.7","0.13","","3.1","2.1","2.6","","3.4","0.7","","0.36","","0.25","0.02","","","","","","","0.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.5","","","130","","","35","100","","133","","","","","","144","4300","","220","238","","","","","","","","","","","","2.8","10800","188","271","","107","17.9","4.28","","1.18","","","","","0.6","0.07","6.4","8.5","","","","","","","","","","","12.4","4.8","","","","","","","","","","","","","","","","","","","","","","","","","1091564",
"[16888]","INTRAPLATE VOLCANICS","WYOMING CRATON / MONTANA / MISSOURI BREAKS / WINNETT SILL","","47","47","-109","-109","SAE","","","s_11 [16888]","MELILITITE [16888]","","","","","","","","","VOL","","","","","WR [16888] ","40.8","0.5","","8.5","","4","4.7","","9.3","21.3","0.18","","2","4.1","0.4","","3.1","0.64","","0.11","","0.22","0.06","","","","","","","0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.7","","","1140","","","70","","","105","","","","","","53","510","","","32","","","","","","","","","1","","","1.5","1090","41","72","","30","4.4","1.04","20.2","0.25","","","","","1.1","0.16","1.5","1.26","","","","","","","","","","","5.6","1","","","","","","","","","","","","","","","","","","","","","","","","","1091568",
"[18798]","INTRAPLATE VOLCANICS","BALTIC SHIELD / SVECOFENNIAN PROVINCE / SWEDEN / ALNO COMPLEX","","62.5","62.5","17.5","17.5","SAE","","","s_GL 69:117 [18798]","MELILITITE [18798]","","","","PROTEROZOIC [18798]","","","","","VOL","","","","","WR [18798] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","134","990","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70589","","","","","","","","","","","","","","","","","","","","","1093385",
"[18798]","INTRAPLATE VOLCANICS","BALTIC SHIELD / SVECOFENNIAN PROVINCE / SWEDEN / ALNO COMPLEX","","62.5","62.5","17.5","17.5","SAE","","","s_TL 69:80 [18798]","MELILITITE [18798]","","","","PROTEROZOIC [18798]","","","","","VOL","","","","","WR [18798] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79","1800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70589","","","","","","","","","","","","","","","","","","","","","1093387",
"[18798]","INTRAPLATE VOLCANICS","BALTIC SHIELD / SVECOFENNIAN PROVINCE / SWEDEN / ALNO COMPLEX","","62.5","62.5","17.5","17.5","SAE","","","s_TL 69-48 [18798]","MELILITITE [18798]","","","","PROTEROZOIC [18798]","","","","","VOL","","","","","WR [18798] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.1","2500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70568","","","","","","","","","","","","","","","","","","","","","1093388",
"[18798]","INTRAPLATE VOLCANICS","BALTIC SHIELD / SVECOFENNIAN PROVINCE / SWEDEN / ALNO COMPLEX","","62.5","62.5","17.5","17.5","SAE","","","s_TL 69:139 [18798]","MELILITITE [18798]","","","","PROTEROZOIC [18798]","","","","","VOL","","","","","WR [18798] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91","1050","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70767","","","","","","","","","","","","","","","","","","","","","1093389",
"[18798]","INTRAPLATE VOLCANICS","BALTIC SHIELD / SVECOFENNIAN PROVINCE / SWEDEN / ALNO COMPLEX","","62.5","62.5","17.5","17.5","SAE","","","s_TL 69:46 [18798]","MELILITITE [18798]","","","","PROTEROZOIC [18798]","","","","","VOL","","","","","WR [18798] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","1550","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.70652","","","","","","","","","","","","","","","","","","","","","1093390",
"[18818]","RIFT VOLCANICS","EAST AFRICAN RIFT / WESTERN EAST AFRICAN RIFT (TANGANYIKA RIFT) / VIRUNGA PROVINCE / NYIRAGONGO","UPPER CRATER, NE PART, LAVA LENS","-1.52","-1.52","29.25","29.25","SAE","","","s_96.658 [18818]","MELILITITE [18818]","","","","","","","","","VOL","","","","","WR [18818] ","29.72","2.654","","11.96","","8.35","2.88","10.39","18.3","7.12","0.245","","4.32","4","2.19","","","","","","","","","","","","","","","","7.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.5","","349","166","","","64","70","84","98","","","","","","102","2146","44","242","194","","","","","","","","","","","","","1836","186","335","37","126","17.6","5.1","12.8","","7.6","1.5","3.3","","2.9","0.39","4.6","13.3","0.9","","","","","","","","4.9","","20","9.9","","","","","","","","","","","","","","","","","","","","","","","","","1093799",
"[18818]","RIFT VOLCANICS","EAST AFRICAN RIFT / WESTERN EAST AFRICAN RIFT (TANGANYIKA RIFT) / VIRUNGA PROVINCE / NYIRAGONGO","DIKE NO. 4, 12 M ABOVE FIRST PLATFORM","-1.52","-1.52","29.25","29.25","SAE","","","s_135.485 [18818]","MELILITITE [18818]","","","","","","","","","VOL","","","","","WR [18818] ","32.89","2.709","","11.22","","6.32","4.75","10.43","18.39","5.82","0.258","","4.14","2.72","2.25","","","","","","","","","","","","","","","","9.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.9","","394","37","","","66","38","106","109","","","","","","94","2502","48","294","267","","","","","","","","","","","","","1984","194","352","39","133","18.2","5.2","13.1","","8","1.46","3.5","","2.7","0.41","4.9","16.3","0.91","","","","","","","","","","23.8","10.6","","","","","","","","","","","","","","","","","","","","","","","","","1093800",
"[18818]","RIFT VOLCANICS","EAST AFRICAN RIFT / WESTERN EAST AFRICAN RIFT (TANGANYIKA RIFT) / VIRUNGA PROVINCE / NYIRAGONGO","NE OF THE CONE, LAVA EMITTED FROM THE CIRCULAR FISSURE","-1.52","-1.52","29.25","29.25","SAE","","","s_135.518 [18818]","MELILITITE [18818]","","","","","","","","","VOL","","","","","WR [18818] ","34.83","2.558","","12.12","","8.75","2.65","10.52","18.06","4.98","0.316","","4.35","4.74","2.02","","","","","","","","","","","","","","","","4.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","","393","20.5","","","58","21.5","90","136","","","","","","115","3200","58","275","380","","","","","","","","","","","","","2790","269","466","50","165","22","6.3","15.7","","9.6","1.87","4.5","","3.7","0.51","3.8","21","1.85","","","","","","","","3.97","","35.2","17.4","","","","","","","","","","","","","","","","","","","","","","","","","1093801",
"[20698]","","","","","","","","","","","s_SA13-23 [20698]","MELILITITE [20698]","","","UPPER [20698]","CRETACEOUS [20698]","","","","","VOL","","","","HE(CCMSTP/G) from PEROVSKITE [20698]","MIN [20698] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000000011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1110703",
"[20698]","","","","","","","","","","","s_SA13-23 [20698]","MELILITITE [20698]","","","UPPER [20698]","CRETACEOUS [20698]","","","","","VOL","","","","HE(CCMSTP/G) from PEROVSKITE [20698]","MIN [20698] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000000013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1110704",
"[20698]","","","","","","","","","","","s_SA13-23 [20698]","MELILITITE [20698]","","","UPPER [20698]","CRETACEOUS [20698]","","","","","VOL","","","","HE(CCMSTP/G) from PEROVSKITE [20698]","MIN [20698] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000000009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1110705",
"[20698]","","","","","","","","","","","s_SA13-23 [20698]","MELILITITE [20698]","","","UPPER [20698]","CRETACEOUS [20698]","","","","","VOL","","","","HE(CCMSTP/G) from PEROVSKITE [20698]","MIN [20698] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000000008","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1110706",
"[18134]","INTRAPLATE VOLCANICS","KAAPVAAL CRATON / SOUTH AFRICA / EENDE KUIL KIMBERLITE CLUSTER / SUTHERLAND PIPE","","-32.39","-32.39","20.64","20.64","SAE","","","s_259 [18134]","MELILITITE [18134]","75000000 [18134]","75000000 [18134]","","CRETACEOUS [18134]","","","","","VOL","","","","","WR [18134] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","","709","","","66","408","","","","","","","","71","943","","341","","","0.0019","0.00064","0.0075","","","","","","","","","563","76.3","147","","56.1","14.8","3.7","6.1","1.5","","","","","1.31","0.21","7.2","7.1","","","0.00038","0.00064","0.0104","0.00023","","","","","10","2.7","","","","","","","","","","","","","","","","","","","","","","","","","1136753",
