"CITATIONS","TECTONIC SETTING","LOCATION","LOCATION COMMENT","LATITUDE MIN","LATITUDE MAX","LONGITUDE MIN","LONGITUDE MAX","LAND OR SEA","ELEVATION MIN","ELEVATION MAX","SAMPLE NAME","ROCK NAME","MIN. AGE (YRS.)","MAX. AGE (YRS.)","GEOL.","AGE","ERUPTION DAY","ERUPTION MONTH","ERUPTION YEAR","ROCK TEXTURE","ROCK TYPE","DRILL DEPTH MIN","DRILL DEPTHAX","ALTERATION","MINERAL","MATERIAL","SIO2(WT%)","TIO2(WT%)","B2O3(WT%)","AL2O3(WT%)","CR2O3(WT%)","FE2O3(WT%)","FEO(WT%)","FEOT(WT%)","CAO(WT%)","MGO(WT%)","MNO(WT%)","NIO(WT%)","K2O(WT%)","NA2O(WT%)","P2O5(WT%)","H2O(WT%)","H2OP(WT%)","H2OM(WT%)","H2OT(WT%)","CO2(WT%)","CO1(WT%)","F(WT%)","CL(WT%)","CL2(WT%)","OH(WT%)","CH4(WT%)","SO2(WT%)","SO3(WT%)","SO4(WT%)","S(WT%)","LOI(WT%)","VOLATILES(WT%)","O(WT%)","OTHERS(WT%)","HE(CCM/G)","HE(CCMSTP/G)","HE3(CCMSTP/G)","HE3(AT/G)","HE4(CCM/G)","HE4(CCMSTP/G)","HE4(AT/G)","HE4(MOLE/G)","HE4(NCC/G)","HE(NCC/G)","LI(PPM)","BE(PPM)","B(PPM)","C(PPM)","CO2(PPM)","F(PPM)","NA(PPM)","MG(PPM)","AL(PPM)","P(PPM)","S(PPM)","CL(PPM)","K(PPM)","CA(PPM)","SC(PPM)","TI(PPM)","V(PPM)","CR(PPM)","MN(PPM)","FE(PPM)","CO(PPM)","NI(PPM)","CU(PPM)","ZN(PPM)","GA(PPM)","GE(PPM)","AS(PPM)","SE(PPM)","BR(PPM)","RB(PPM)","SR(PPM)","Y(PPM)","ZR(PPM)","NB(PPM)","MO(PPM)","RU(PPM)","RH(PPM)","PD(PPM)","AG(PPM)","CD(PPM)","IN(PPM)","SN(PPM)","SB(PPM)","TE(PPM)","I(PPM)","CS(PPM)","BA(PPM)","LA(PPM)","CE(PPM)","PR(PPM)","ND(PPM)","SM(PPM)","EU(PPM)","GD(PPM)","TB(PPM)","DY(PPM)","HO(PPM)","ER(PPM)","TM(PPM)","YB(PPM)","LU(PPM)","HF(PPM)","TA(PPM)","W(PPM)","RE(PPM)","OS(PPM)","IR(PPM)","PT(PPM)","AU(PPM)","HG(PPM)","TL(PPM)","PB(PPM)","BI(PPM)","TH(PPM)","U(PPM)","ND143_ND144","ND143_ND144_INI","EPSILON_ND","SR87_SR86","SR87_SR86_INI","PB206_PB204","PB206_PB204_INI","PB207_PB204","PB207_PB204_INI","PB208_PB204","PB208_PB204_INI","OS184_OS188","OS186_OS188","OS187_OS186","OS187_OS188","RE187_OS186","RE187_OS188","HF176_HF177","HE3_HE4","HE3_HE4(R/R(A))","HE4_HE3","HE4_HE3(R/R(A))","K40_AR40","AR40_K40","UNIQUE_ID",
"[1209]","OCEAN ISLAND","ICELAND / ICELAND / HALEYJARBUNGA / WESTERN ICELAND RIFT ZONE","REYKJANES PENINSULA","63.815","63.815","-22.67","-22.67","SAE","","","s_D2-5 [1209]","PICRITE [1209]","","","","","","","","","VOL","","","S","","WR [1209] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10475",
"[1209]","OCEAN ISLAND","ICELAND / ICELAND / HALEYJARBUNGA / WESTERN ICELAND RIFT ZONE","REYKJANES PENINSULA","63.815","63.815","-22.67","-22.67","SAE","","","s_D2-9 [1209]","PICRITE [1209]","","","","","","","","VESICULAR [1209] ","VOL","","","","","WR [1209] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10477",
"[1209]","OCEAN ISLAND","ICELAND / ICELAND / HALEYJARBUNGA / WESTERN ICELAND RIFT ZONE","REYKJANES PENINSULA","63.815","63.815","-22.67","-22.67","SAE","","","s_D2-13 [1209]","PICRITE [1209]","","","","","","","","VESICULAR [1209] ","VOL","","","","","WR [1209] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10478",
"[1209]","OCEAN ISLAND","ICELAND / ICELAND / HALEYJARBUNGA / WESTERN ICELAND RIFT ZONE","REYKJANES PENINSULA","63.815","63.815","-22.67","-22.67","SAE","","","s_D2-16 [1209]","PICRITE [1209]","","","","","","","","VESICULAR [1209] ","VOL","","","","","WR [1209] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10479",
"[1209]","OCEAN ISLAND","ICELAND / ICELAND / BURFELLSHRAUN / WESTERN ICELAND RIFT ZONE","REYKJANES PENINSULA","64.1","64.1","-20.93","-20.93","SAE","","","s_D26-1 [1209]","PICRITE [1209]","","","","","","","","SLIGHTLY VESICULAR [1209] ","VOL","","","","","WR [1209] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10480",
"[1209]","OCEAN ISLAND","ICELAND / ICELAND / BURFELLSHRAUN / WESTERN ICELAND RIFT ZONE","REYKJANES PENINSULA","64.1","64.1","-20.93","-20.93","SAE","","","s_D26-3 [1209]","PICRITE [1209]","","","","","","","","","VOL","","","","","WR [1209] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10482",
"[1209]","OCEAN ISLAND","ICELAND / ICELAND / BURFELLSHRAUN / WESTERN ICELAND RIFT ZONE","REYKJANES PENINSULA","64.1","64.1","-20.93","-20.93","SAE","","","s_D26-5 [1209]","PICRITE [1209]","","","","","","","","","VOL","","","","","WR [1209] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10484",
"[1209]","OCEAN ISLAND","ICELAND / ICELAND / BURFELLSHRAUN / WESTERN ICELAND RIFT ZONE","REYKJANES PENINSULA","64.1","64.1","-20.93","-20.93","SAE","","","s_D26-6 [1209]","PICRITE [1209]","","","","","","","","SLIGHTLY VESICULAR [1209] ","VOL","","","","","WR [1209] ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10485",
"[20330]","CONTINENTAL FLOOD BASALT","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / LALIBELA SECTION","","11.4878","11.4878","39.2403","39.2403","SAE","","","s_LAL33 [20330]","PICRITE [20330]","30000000 [20330]","30000000 [20330]","","OLIGOCENE [20330]","","","","","VOL","","","","","WR [20330] ","47.79","3.61","","8.99","","1.77","11.78","","9.58","13.39","0.18","","0.57","1.65","0.4","","","","","","","","","","","","","","","","0.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","360","899","","","76","509","","","","","","","","15","435","33.2","315","38.2","","","","","","","","","","","","","258","30.8","74","10.3","45","10","2.98","8.94","1.49","6.63","1.25","2.97","0.42","2.36","0.33","8.26","1.38","","","","","","","","","","","3.17","1.3","0.513","","","0.70409","","18.94","","15.56","","38.71","","","","","","","","","","","","","","","1051520",
"[20330]","CONTINENTAL FLOOD BASALT","ETHIOPIAN PLATEAU / NORTHERN ETHIOPIAN PLATEAU / LALIBELA SECTION","","11.8242","11.8242","39.5544","39.5544","SAE","","","s_LAL41 [20330]","PICRITE [20330]","30000000 [20330]","30000000 [20330]","","OLIGOCENE [20330]","","","","","VOL","","","","","WR [20330] ","48.15","3.09","","8.3","","1.68","11.21","","9.97","14.89","0.18","","0.54","1.53","0.3","","","","","","","","","","","","","","","","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","41","","345","1348","","","80","569","","","","","","","","28","396","41.3","240","38.1","","","","","","","","","","","","","225","34","79.6","11.3","49.7","11.6","3.48","10.3","1.78","8.11","1.54","3.68","0.52","2.93","0.41","8.63","1.39","","","","","","","","","","","3.67","1.28","0.51296","","","0.70417","","18.95","","15.59","","38.76","","","","","","","","","","","","","","","1051521",
